TT,COMP%,,,,
2.3,65.6,,,,
2.38,68.5,,,,
2.5,64.9,,,,
2.51,63.4,,,,
2.51,64.7,,,,
2.52,68,,,,
2.55,64.1,,,,
2.55,61.4,,,,
2.57,65.7,,,,
2.57,67.1,,,,
2.58,62,,,,
2.6,69.1,,,,
2.63,66.7,,,,
2.63,64.7,,,,
2.65,65.3,,,,
2.65,64.2,,,,
2.66,67,,,,
2.66,70.5,,,,
2.69,66.6,,,,
2.69,65.5,,,,
2.72,70.7,,,,
2.74,67.2,,,,
2.76,62.5,,,,
2.76,67,,,,
2.77,66.1,,,,
2.77,68,,,,
2.78,67.3,,,,
2.84,65.8,,,,
2.85,70.2,,,,
2.85,59.6,,,,
2.87,57.3,,,,
2.87,65,,,,
2.88,55.2,,,,
2.88,67.6,,,,
2.89,66.3,,,,
2.91,57.4,,,,
2.97,68.8,,,,
2.98,64.4,,,,
3.04,69.2,,,,
3.05,62.8,,,,
3.11,52,,,,
